ID ÚNICO - RESPONDENTE,MÊS PESQUISA
MGBEA1115,SIM - 05/2024
MGJUL1661,SIM - 05/2024
MGCAR8191,SIM - 05/2024
MGDAV8978,SIM - 05/2024
MGDIE9245,SIM - 05/2024
RJ TH9899,SIM - 05/2024
MGWAL8025,SIM - 05/2024
MGROD1981,SIM - 05/2024
RJCAR6444,SIM - 05/2024
MGCLO3617,SIM - 05/2024
SPSUE7383,SIM - 05/2024
SPKAY8880,SIM - 05/2024
SPQUI6034,SIM - 05/2024
SPFAB4270,SIM - 05/2024
RJJUL4889,SIM - 05/2024
RJTAL6760,SIM - 05/2024
SPMAR8539,SIM - 05/2024
SPBIA8070,SIM - 05/2024
SPGAB3331,SIM - 05/2024
SPMEL6140,SIM - 05/2024
MGCLA9503,SIM - 05/2024
SPMAR0491,SIM - 05/2024
MGJOS8193,SIM - 05/2024
SPLUI8812,SIM - 05/2024
SPCES0518,SIM - 05/2024
SPODA8204,SIM - 05/2024
SPOTA0752,SIM - 05/2024
SPNIN3304,SIM - 05/2024
SPWIL3105,SIM - 05/2024
SPJAN1842,SIM - 05/2024
MGROB5340,SIM - 05/2024
SPCLA0186,SIM - 05/2024
RJJAM6543,SIM - 05/2024
MGLET2828,SIM - 05/2024
SPFRA5214,SIM - 05/2024
SPDAY1852,SIM - 05/2024
RJJEF5916,SIM - 05/2024
MGHEL7725,SIM - 05/2024
SPISA8484,SIM - 05/2024
BAOLI7717,SIM - 05/2024
SPJAN8236,SIM - 05/2024
MGMAR9316,SIM - 05/2024
SPMAR3074,SIM - 05/2024
SPTHA3099,SIM - 05/2024
SPLAU1396,SIM - 05/2024
ESGEI1975,SIM - 05/2024
SPBAR5953,SIM - 05/2024
RJSOL4411,SIM - 05/2024
RJVAN7868,SIM - 05/2024
ESRON8791,SIM - 05/2024
SPEDU9029,SIM - 05/2024
RJEDI4295,SIM - 05/2024
SPVAN9749,SIM - 05/2024
MGEMI2758,SIM - 05/2024
SPLUI3513,SIM - 05/2024
RJREG2369,SIM - 05/2024
SPLIG1800,SIM - 05/2024
RJJOR4196,SIM - 05/2024
SPLUC8494,SIM - 05/2024
SPNIC4192,SIM - 05/2024
SPVIC7337,SIM - 05/2024
SPGIS5300,SIM - 05/2024
SPKAR9289,SIM - 05/2024
SPWAG0888,SIM - 05/2024
SPERI1341,SIM - 05/2024
SPALE3786,SIM - 05/2024
SPAND7574,SIM - 05/2024
SPESM4074,SIM - 05/2024
ESCLA0506,SIM - 05/2024
MGDOU6737,SIM - 05/2024
SPISA8651,SIM - 05/2024
SPSHE9405,SIM - 05/2024
SPGUS9268,SIM - 05/2024
RJIGO1954,SIM - 05/2024
MGVEN1124,SIM - 05/2024
SPHUG8770,SIM - 05/2024
SPJAQ6009,SIM - 05/2024
MGGUS0739,SIM - 05/2024
MGATI7307,SIM - 05/2024
MGCLO2131,SIM - 05/2024
MGJUL1234,SIM - 05/2024
MGMUR1949,SIM - 05/2024
SPALE4411,SIM - 05/2024
MGNIL5881,SIM - 05/2024
RJRAY5199,SIM - 05/2024
RJKET4540,SIM - 05/2024
RJVAL9693,SIM - 05/2024
SPRIA2369,SIM - 05/2024
RJVIT1093,SIM - 05/2024
MGALE4184,SIM - 05/2024
RJSAN1297,SIM - 05/2024
SPCLE8400,SIM - 05/2024
ESANT3315,SIM - 05/2024
SPSER8768,SIM - 05/2024
SPSIL8955,SIM - 05/2024
ESJON1011,SIM - 05/2024
MGNAT7067,SIM - 05/2024
SPLAE3188,SIM - 05/2024
SPMAI0779,SIM - 05/2024
MGREN3148,SIM - 05/2024
SPPED4006,SIM - 05/2024
ESJOS1581,SIM - 05/2024
SPLUI3898,SIM - 05/2024
MGAND0367,SIM - 05/2024
SPREN4762,SIM - 05/2024
SPVAN0508,SIM - 05/2024
MGMAR9973,SIM - 05/2024
SPMAR4926,SIM - 05/2024
MGVAL2396,SIM - 05/2024
SPIVA9020,SIM - 05/2024
MGJOH9537,SIM - 05/2024
MGMAR1467,SIM - 05/2024
RJMAR6375,SIM - 05/2024
MGREJ4298,SIM - 05/2024
MGLAR4518,SIM - 05/2024
MGMAR0717,SIM - 05/2024
SPPAU5779,SIM - 05/2024
MGTHA0176,SIM - 05/2024
MGDEB1140,SIM - 05/2024
SPDAR8247,SIM - 05/2024
SPJUL8273,SIM - 05/2024
ESAND9798,SIM - 05/2024
MGMAR2129,SIM - 05/2024
MGJOS2949,SIM - 05/2024
RJELL5774,SIM - 05/2024
SPJOS3312,SIM - 05/2024
MGJUL8225,SIM - 05/2024
RJGIL9386,SIM - 05/2024
MGCAR2681,SIM - 05/2024
RJVIV1683,SIM - 05/2024
RJJAN9188,SIM - 05/2024
MGALE5338,SIM - 05/2024
RJMAG7742,SIM - 05/2024
SPIVA1035,SIM - 05/2024
RJVAN3325,SIM - 05/2024
SPANT7275,SIM - 05/2024
SPJOR2789,SIM - 05/2024
SPILS9580,SIM - 05/2024
SPGEO2278,SIM - 05/2024
RJGUS9965,SIM - 05/2024
SPIGO3849,SIM - 05/2024
SPLUC9312,SIM - 05/2024
SPRAF7504,SIM - 05/2024
MGMIC0001,SIM - 05/2024
MGAND1149,SIM - 05/2024
SPMAR7994,SIM - 05/2024
SPANN4793,SIM - 05/2024
MGBRU5718,SIM - 05/2024
MGDAN8313,SIM - 05/2024
MGBRU6500,SIM - 05/2024
RJMAR5355,SIM - 05/2024
SPJOA0080,SIM - 05/2024
MGUBI1301,SIM - 05/2024
RJMAR9748,SIM - 05/2024
MGLUZ8112,SIM - 05/2024
RJBRU8403,SIM - 05/2024
ESSER3914,SIM - 05/2024
SPKLE6878,SIM - 05/2024
SPDEB3251,SIM - 05/2024
SPEST4500,SIM - 05/2024
SPALE5679,SIM - 05/2024
SPVAL2682,SIM - 05/2024
SPANT4982,SIM - 05/2024
MGROB2607,SIM - 05/2024
RJGIS6625,SIM - 05/2024
SPREJ3725,SIM - 05/2024
SPNOV2342,SIM - 05/2024
RJRAI6351,SIM - 05/2024
SPPAS4551,SIM - 05/2024
RJMAR0281,SIM - 05/2024
SPCHA0077,SIM - 05/2024
SPROB4334,SIM - 05/2024
MGISA4105,SIM - 05/2024
MGANA9009,SIM - 05/2024
RJCAR6042,SIM - 05/2024
SPJUL3863,SIM - 05/2024
MGCLA0484,SIM - 05/2024
MGMAR9870,SIM - 05/2024
SPCIL8608,SIM - 05/2024
SPGEO8867,SIM - 05/2024
ESELI4775,SIM - 05/2024
MTMAR5488,SIM - 05/2024
MSORA1956,SIM - 05/2024
DFELA8863,SIM - 05/2024
DFAND2063,SIM - 05/2024
DFJOS0448,SIM - 05/2024
DFROB2727,SIM - 05/2024
GOREJ4419,SIM - 05/2024
DFROD9207,SIM - 05/2024
GODAN4603,SIM - 05/2024
DFAIL9524,SIM - 05/2024
DFTAI6460,SIM - 05/2024
DFLID8826,SIM - 05/2024
DFRAF9985,SIM - 05/2024
DFROD1804,SIM - 05/2024
MSOSW4216,SIM - 05/2024
DFREN4830,SIM - 05/2024
GOCRI7911,SIM - 05/2024
DFMOI0158,SIM - 05/2024
DFLUC6921,SIM - 05/2024
GOMER9318,SIM - 05/2024
MTSIM8072,SIM - 05/2024
DFANA6719,SIM - 05/2024
DFROS3614,SIM - 05/2024
DFJER7889,SIM - 05/2024
MSNAI2263,SIM - 05/2024
DFJOÃ3604,SIM - 05/2024
DFSAM2752,SIM - 05/2024
GOFLA8600,SIM - 05/2024
DFTHA3371,SIM - 05/2024
MSJOS6570,SIM - 05/2024
DFGER4663,SIM - 05/2024
DFMAR1354,SIM - 05/2024
GOOJH6479,SIM - 05/2024
MGELZ3029,SIM - 05/2024
GOEDI2116,SIM - 05/2024
MTRUT5260,SIM - 05/2024
GOMAR6674,SIM - 05/2024
GOMAY1116,SIM - 05/2024
DFROS2608,SIM - 05/2024
GOADE5844,SIM - 05/2024
DFMAR2751,SIM - 05/2024
GOZUL7392,SIM - 05/2024
DFALI1713,SIM - 05/2024
GOUCL9171,SIM - 05/2024
MSELI2512,SIM - 05/2024
MSROG8806,SIM - 05/2024
DFFRA3388,SIM - 05/2024
RSANA5047,SIM - 05/2024
PBVAS3640,SIM - 05/2024
MGELI2374,SIM - 05/2024
GOLUC7148,SIM - 05/2024
SPTER2424,SIM - 05/2024
SPPAU2214,SIM - 05/2024
SCWIL3960,SIM - 05/2024
SPCAR8889,SIM - 05/2024
MGADI5731,SIM - 05/2024
ESLUA6957,SIM - 05/2024
SPAND1519,SIM - 05/2024
SPSUE8355,SIM - 05/2024
SPCAR5813,SIM - 05/2024
RJSER9271,SIM - 05/2024
MGMAR4087,SIM - 05/2024
SPDAV6472,SIM - 05/2024
RJDAI2020,SIM - 05/2024
SPELI2135,SIM - 05/2024
RJMAR2944,SIM - 05/2024
RSIVA3087,SIM - 05/2024
RSFEL0999,SIM - 05/2024
RSANT7181,SIM - 05/2024
RSRIV7023,SIM - 05/2024
GOJUA9908,SIM - 05/2024
SCWIL5934,SIM - 05/2024
SCLUA2998,SIM - 05/2024
SCLUC0939,SIM - 05/2024
RSGEO3834,SIM - 05/2024
PRMAT2977,SIM - 05/2024
SCROS4388,SIM - 05/2024
SCSIN0396,SIM - 05/2024
SCFRA4859,SIM - 05/2024
PRING0037,SIM - 05/2024
SCPAT7357,SIM - 05/2024
